SpatialDim,ParentLocation,TimeDim,PM25_mean,PM25_lower_CI,PM25_upper_CI
COG,Africa,2019,29.48397,6.4154,102.37134
NPL,South-East Asia,2018,40.05945,34.8296,47.47566
VEN,Americas,2019,16.21392,11.54636,21.75661
EST,Europe,2014,7.84577,7.20249,8.70472
BFA,Africa,2016,43.05181,16.66077,97.72337
SDN,Eastern Mediterranean,2012,22.60951,11.21489,41.75525
GLOBAL,,2013,39.37527,37.60141,41.17643
TUR,Europe,2019,23.25106,21.82691,24.54741
ISL,Europe,2012,6.63645,5.86487,7.39723
EST,Europe,2011,7.65399,6.98805,8.4513
FSM,Western Pacific,2019,7.78563,3.26613,15.61128
NER,Africa,2018,50.74433,21.94182,101.53981
OMN,Eastern Mediterranean,2015,35.84203,22.52628,59.1005
IND,South-East Asia,2012,55.71659,53.57476,57.93259
VUT,Western Pacific,2017,8.61743,2.84325,18.56003
SLB,Western Pacific,2010,7.41903,2.33858,14.43096
IDN,South-East Asia,2012,20.27159,17.12309,24.50764
KOR,Western Pacific,2017,25.81438,24.95572,26.35905
NPL,South-East Asia,2015,39.81822,34.79185,47.30376
CYP,Europe,2010,18.5258,16.41898,20.56896
ISR,Europe,2012,22.15262,20.69436,23.55646
FJI,Western Pacific,2015,7.32313,4.30772,11.85001
SEAR,,2013,50.35609,48.16563,52.70839
SVN,Europe,2012,18.73253,17.84836,19.7453
ETH,Africa,2017,22.2304,13.12149,33.52825
JAM,Americas,2010,14.58165,11.67621,17.24653
SGP,Western Pacific,2010,16.89388,13.1344,22.24698
MNG,Western Pacific,2013,48.76769,35.89755,64.56288
SSD,Africa,2015,22.0609,11.03613,41.79608
ARG,Americas,2011,13.22056,9.9567,17.16817
IRN,Eastern Mediterranean,2010,29.88702,26.15644,33.48878
RUS,Europe,2011,10.52571,8.32023,13.18884
ARE,Eastern Mediterranean,2018,43.09622,36.91678,52.28174
747,,2011,35.07014,29.93653,40.72673
QAT,Eastern Mediterranean,2014,58.29297,45.19922,69.16846
BGR,Europe,2014,21.16684,20.20967,22.21032
LVA,Europe,2018,12.84245,11.25793,14.30393
KOR,Western Pacific,2019,24.03774,23.38621,24.7486
TTO,Americas,2016,10.95355,8.26352,13.33871
TJK,Europe,2010,63.40423,42.51407,96.55936
JAM,Americas,2017,16.30178,13.60068,18.9765
UZB,Europe,2011,55.09954,37.0314,81.11921
AZE,Europe,2018,26.96124,15.43623,42.1727
PSE,Eastern Mediterranean,2016,30.29228,21.47173,41.18814
VCT,Americas,2013,8.97443,6.06026,12.00492
GNQ,Africa,2019,25.66867,6.04852,70.9554
NIU,Western Pacific,2017,6.64027,3.20959,13.58851
EUR,,2010,18.7488,17.86488,19.9509
GAB,Africa,2014,24.74257,6.4578,74.44256
MDA,Europe,2013,15.10139,11.27821,19.78185
HI_WPR,,2019,13.78117,13.25934,14.25913
MOZ,Africa,2019,16.44818,8.55241,26.26218
ESP,Europe,2013,11.21636,10.97721,11.46988
LVA,Europe,2014,15.38506,13.71112,17.36656
SEAR,,2011,47.31515,45.18162,49.46708
TCD,Africa,2017,44.35547,23.94832,76.95854
TON,Western Pacific,2019,7.52079,4.22125,12.60736
HUN,Europe,2017,16.61689,15.71387,17.66477
COL,Americas,2010,17.41506,14.58364,20.26944
STP,Africa,2014,32.11853,16.56398,55.17861
SVN,Europe,2018,17.77099,16.8106,18.74289
LMI_AFR,,2011,31.9122,25.07043,41.436
KEN,Africa,2016,12.52689,7.80548,17.78748
CIV,Africa,2019,40.41493,22.75374,68.95625
513,,2013,12.29875,11.89401,12.73069
UGA,Africa,2011,31.4937,19.87866,47.36363
TON,Western Pacific,2017,7.38038,4.06487,12.418
NAM,Africa,2014,11.9326,6.24751,18.88578
TON,Western Pacific,2016,7.39788,4.28702,12.8959
GRC,Europe,2014,15.61442,14.46796,16.85365
PRK,South-East Asia,2016,51.03666,38.55879,66.24984
NAM,Africa,2016,11.90338,6.2883,18.89484
LBN,Eastern Mediterranean,2016,24.11258,17.97288,32.17233
TLS,South-East Asia,2011,19.57411,8.09286,39.36741
PER,Americas,2014,31.47109,24.9451,41.14047
753,,2013,49.52913,47.29313,51.57485
KIR,Western Pacific,2014,7.33496,3.05174,14.00608
BDI,Africa,2018,27.98169,11.01157,60.89815
GIN,Africa,2019,37.57394,21.98681,72.05215
COK,Western Pacific,2016,7.62076,3.16522,17.56353
DZA,Africa,2015,22.49486,14.45622,34.9149
PHL,Western Pacific,2013,24.20666,20.57429,28.36047
VNM,Western Pacific,2015,20.46553,16.10585,24.56006
SSD,Africa,2013,21.54355,10.96556,40.55918
HTI,Americas,2016,10.36243,5.78062,18.88096
SRB,Europe,2016,24.24702,22.39572,25.81548
IND,South-East Asia,2015,55.47851,52.72362,57.77192
PHL,Western Pacific,2010,23.81843,20.00283,29.63852
ZWE,Africa,2013,13.09511,7.05046,22.78039
COG,Africa,2011,30.49804,6.67088,110.19675
HI_AMR,,2017,8.57493,8.38385,8.7767
HUN,Europe,2018,17.25407,16.35646,18.15798
SUR,Americas,2011,11.12067,5.89589,17.41141
HI_EUR,,2017,12.71925,12.6151,12.82665
SYC,Africa,2017,16.36962,12.14113,23.0196
LAO,Western Pacific,2011,20.19389,15.66404,25.19375
UZB,Europe,2018,44.62058,32.57092,63.49979
CMR,Africa,2019,56.36692,39.06441,79.81277
ARM,Europe,2014,40.55938,29.41124,57.64745
DZA,Africa,2017,23.32959,14.84479,36.41261
DOM,Americas,2017,8.32237,5.16301,12.22692
BRA,Americas,2010,14.59709,12.4131,17.34789
NZL,Western Pacific,2012,7.67365,7.23541,8.15733
AGO,Africa,2010,24.1984,6.16704,65.55157
SRB,Europe,2011,30.67586,28.40559,32.68086
CZE,Europe,2014,18.27818,17.75865,18.87418
LUX,Europe,2018,9.70775,9.17086,10.25583
CPV,Africa,2017,32.59455,17.17469,60.60027
MDV,South-East Asia,2012,13.26983,10.37018,16.50084
MOZ,Africa,2013,16.65098,8.54797,26.68697
OMN,Eastern Mediterranean,2012,36.9132,23.00219,61.41162
ETH,Africa,2010,22.26304,13.02533,33.71992
PSE,Eastern Mediterranean,2015,30.4868,21.55957,41.48623
ERI,Africa,2014,21.30527,9.08695,44.2791
AND,Europe,2012,10.79727,9.4372,12.70609
MNE,Europe,2014,23.25985,20.8698,26.72252
LKA,South-East Asia,2019,23.87759,17.37756,31.79329
SLB,Western Pacific,2013,7.54031,2.47698,14.86859
ZWE,Africa,2015,13.26748,7.11728,23.3931
53,,2010,9.08553,8.20803,9.96028
SEAR,,2014,47.99703,46.10054,50.07872
MDG,Africa,2013,16.54685,11.02876,24.84865
PLW,Western Pacific,2014,7.75975,2.85324,18.62048
PAN,Americas,2019,11.77915,8.45551,15.12566
BHR,Eastern Mediterranean,2013,52.80459,46.76694,59.04012
GHA,Africa,2019,46.04334,31.19458,69.73665
BLZ,Americas,2012,10.17558,4.02518,20.07505
BLZ,Americas,2013,10.24834,4.01232,20.04129
BEL,Europe,2019,11.25612,10.86502,11.61927
NGA,Africa,2016,57.1711,37.88991,79.66751
KGZ,Europe,2018,40.99721,27.62588,57.53666
NZL,Western Pacific,2019,8.60929,8.11482,9.1131
AUS,Western Pacific,2018,7.10973,6.7098,7.53479
OMN,Eastern Mediterranean,2014,34.69059,21.99148,56.82396
AUS,Western Pacific,2010,9.03381,8.13535,9.93322
AUS,Western Pacific,2017,6.88756,6.54799,7.21251
TUR,Europe,2016,22.53114,21.2565,23.6522
UNKNOWN,,2016,17.06711,13.73429,21.02349
GLOBAL,,2016,34.65158,33.00498,36.64687
MOZ,Africa,2014,16.6766,8.5956,26.76283
BWA,Africa,2014,12.77959,9.25015,18.72106
WSM,Western Pacific,2015,7.75524,2.9293,17.33713
KAZ,Europe,2012,34.81683,24.02527,51.72567
753,,2019,31.55598,30.38555,32.49792
CHN,Western Pacific,2014,55.40258,52.78395,57.50008
NZL,Western Pacific,2016,6.90511,6.5587,7.25559
AFG,Eastern Mediterranean,2015,67.2032,49.04869,92.66884
PRT,Europe,2015,8.67534,8.36788,8.92925
MMR,South-East Asia,2010,29.45053,23.88366,36.98573
SWZ,Africa,2016,14.5759,10.15982,19.25921
AFR,,2019,32.52097,25.38894,41.93688
BLZ,Americas,2014,10.79746,4.16212,21.2438
COK,Western Pacific,2011,7.29535,3.09102,18.22571
RWA,Africa,2018,34.91829,12.01496,70.4185
LTU,Europe,2017,9.90997,8.92635,10.9648
MMR,South-East Asia,2016,29.2509,25.27499,34.70255
NIC,Americas,2013,21.2362,15.37232,29.78953
IDN,South-East Asia,2019,19.3398,16.75919,23.72202
LCA,Americas,2010,8.42728,5.83781,11.68765
SSD,Africa,2014,21.23758,10.89195,39.66347
FIN,Europe,2011,7.03235,6.61393,7.44719
PER,Americas,2010,29.59087,23.01205,38.51786
BOL,Americas,2010,28.03159,20.0763,38.65093
LMI_EMR,,2016,43.17567,37.49652,49.32178
SLB,Western Pacific,2018,7.94788,2.56339,14.46863
BLR,Europe,2010,19.90926,16.58192,22.07594
TZA,Africa,2014,15.34867,10.82977,22.69723
URY,Americas,2010,9.18128,6.96424,11.5638
ECU,Americas,2010,17.47493,14.91846,20.44792
FJI,Western Pacific,2014,7.22564,4.28126,12.11918
EMR,,2013,45.70842,40.24692,51.83296
CRI,Americas,2011,19.17703,16.51972,22.58869
BTN,South-East Asia,2011,29.08522,26.08069,32.07855
SEN,Africa,2017,39.88987,22.51736,59.51323
GBR,Europe,2010,13.17134,12.73784,13.61412
TUR,Europe,2012,22.7553,21.41267,23.94589
BRN,Western Pacific,2010,8.33369,7.05794,10.05771
PLW,Western Pacific,2017,7.49994,2.72419,16.52762
GEO,Europe,2013,23.91735,18.11039,31.48638
62,,2018,53.34119,50.74024,55.94231
DNK,Europe,2013,10.96574,9.96609,12.08508
SMR,Europe,2012,12.11762,10.11622,14.14148
543,,2013,8.14817,3.09618,18.13859
PRY,Americas,2019,12.30993,9.31927,17.95019
ZMB,Africa,2015,17.4341,7.75191,32.9936
SWE,Europe,2015,6.37266,6.0978,6.68284
EUR,,2013,17.56861,16.49859,18.85487
TGO,Africa,2010,34.98097,21.02888,57.33375
753,,2012,41.85703,37.67975,45.52277
AGO,Africa,2012,24.0083,6.12695,65.44965
MLI,Africa,2018,39.82185,15.05099,88.75271
HI_WPR,,2013,16.26599,15.68412,16.93517
LSO,Africa,2016,17.42253,12.0464,26.34754
MMR,South-East Asia,2012,28.51278,24.27494,32.84521
URY,Americas,2018,8.81777,6.56124,11.42837
BFA,Africa,2012,41.16909,16.32265,92.25567
ARE,Eastern Mediterranean,2015,43.92792,37.58848,53.4101
JPN,Western Pacific,2019,10.83519,10.02477,11.55344
MDV,South-East Asia,2014,12.0814,9.63499,15.73675
GHA,Africa,2018,48.04326,31.47638,73.66537
IRL,Europe,2012,9.42652,8.81901,9.95294
TJK,Europe,2019,53.64558,38.18363,76.74753
UZB,Europe,2017,45.48117,32.02345,67.5949
AND,Europe,2011,11.66004,10.24671,13.6923
LSO,Africa,2018,17.79953,12.18798,26.94826
SYC,Africa,2019,16.95663,12.23341,23.36826
KAZ,Europe,2017,29.0364,20.79933,38.95194
NER,Africa,2016,52.51137,22.05351,106.9769
SLV,Americas,2019,22.15224,14.49191,31.82387
SVK,Europe,2012,20.27122,19.37212,21.22796
MRT,Africa,2017,43.42366,18.13845,95.80472
IRQ,Eastern Mediterranean,2010,39.31795,31.91451,49.33745
PAN,Americas,2016,14.03824,10.25996,17.84878
ECU,Americas,2014,18.55831,15.64971,21.8058
VCT,Americas,2012,9.23302,6.2264,12.64898
LBR,Africa,2019,35.79581,18.1928,64.6483
GTM,Americas,2010,25.981,20.22458,33.78786
EST,Europe,2019,6.35007,5.83061,6.94091
AUT,Europe,2016,12.27973,11.93706,12.68196
SVN,Europe,2014,17.91433,17.0576,18.96753
